350,0
351,0.005
360,0.02
372,0.03
374.62,0.055971
375.33,0.055971
378.9,0.079131
384.97,0.1158
387.47,0.13124
398.25,0.14058
403.5,0.125
407.58,0.1214
415.17,0.123
426.25,0.14217
442.01,0.17412
451.93,0.23962
457.76,0.29073
461.26,0.29393
464.76,0.27636
469.43,0.26518
475.85,0.3131
478.76,0.37061
484.01,0.52236
485.76,0.59105
489.26,0.63578
492.18,0.64058
495.68,0.60064
498.6,0.49361
499.77,0.42971
503.85,0.3754
507.02,0.37
512.02,0.43131
516.1,0.54792
518.44,0.66134
522.52,0.82428
524.27,0.9361
527.19,0.9984
529.52,0.95208
530.69,0.88978
533.61,0.77955
535.36,0.60703
538.86,0.4393
543.52,0.26997
550.53,0.15815
562.19,0.11022
582.03,0.084665
640.96,0.057508
701.63,0.041534
765.81,0.031949
845.16,0.025559
871.41,0.027157
888.33,0.031949
903.5,0.030351
929.75,0.022364
931,0
